DATE,5/1 ARM,15 YR FIXED,30 YR FIXED
"Thursday, August 4, 2016",2.73,2.74,3.43
"Thursday, August 11, 2016",2.74,2.76,3.45
"Thursday, August 18, 2016",2.76,2.74,3.43
"Thursday, August 25, 2016",2.75,2.74,3.43
"Thursday, September 1, 2016",2.83,2.77,3.46
"Thursday, September 8, 2016",2.81,2.76,3.44
"Thursday, September 15, 2016",2.82,2.77,3.5
"Thursday, September 22, 2016",2.8,2.76,3.48
"Thursday, September 29, 2016",2.81,2.72,3.42
"Thursday, October 6, 2016",2.8,2.72,3.42
"Thursday, October 13, 2016",2.82,2.76,3.47
"Thursday, October 20, 2016",2.85,2.79,3.52
"Thursday, October 27, 2016",2.84,2.78,3.47
"Thursday, November 3, 2016",2.87,2.84,3.54
"Thursday, November 10, 2016",2.88,2.88,3.57
"Thursday, November 17, 2016",3.07,3.14,3.94
"Wednesday, November 23, 2016",3.12,3.25,4.03
"Thursday, December 1, 2016",3.15,3.34,4.08
"Thursday, December 8, 2016",3.17,3.36,4.13
"Thursday, December 15, 2016",3.19,3.37,4.16
"Thursday, December 22, 2016",3.32,3.52,4.3
"Thursday, December 29, 2016",3.3,3.55,4.32
"Thursday, January 5, 2017",3.33,3.44,4.2
"Thursday, January 12, 2017",3.23,3.37,4.12
"Thursday, January 19, 2017",3.21,3.34,4.09
"Thursday, January 26, 2017",3.2,3.4,4.19
"Thursday, February 2, 2017",3.23,3.41,4.19
"Thursday, February 9, 2017",3.21,3.39,4.17
"Thursday, February 16, 2017",3.18,3.35,4.15
"Thursday, February 23, 2017",3.16,3.37,4.16
"Thursday, March 2, 2017",3.14,3.32,4.1
"Thursday, March 9, 2017",3.23,3.42,4.21
"Thursday, March 16, 2017",3.28,3.5,4.3
"Thursday, March 23, 2017",3.24,3.44,4.23
"Thursday, March 30, 2017",3.18,3.39,4.14
"Thursday, April 6, 2017",3.19,3.36,4.1
"Thursday, April 13, 2017",3.18,3.34,4.08
